date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,park_id
2023-07-06,93.9,79.0,0.008,17.8,64,ARL03
2023-07-07,95.4,77.4,0.0,16.1,61,ARL03
2023-07-08,96.7,79.0,0.362,12.8,62,ARL03
2023-07-09,90.7,78.9,1.067,13.5,74,ARL03
2023-07-10,92.1,75.4,0.492,12.0,80,ARL03
2023-07-11,94.2,76.6,0.555,14.7,75,ARL03
2023-07-12,101.4,81.4,0.0,14.3,56,ARL03
2023-07-13,102.1,81.1,0.0,18.0,56,ARL03
2023-07-14,102.4,82.6,0.0,16.5,50,ARL03
2023-07-15,98.4,81.5,0.016,16.1,57,ARL03
2023-07-16,90.4,76.1,0.465,13.6,76,ARL03
2023-07-17,103.8,77.3,0.0,14.9,51,ARL03
2023-07-18,106.5,83.7,0.0,16.0,39,ARL03
2023-07-19,104.5,82.8,0.0,15.4,43,ARL03
2023-07-20,101.8,81.6,0.0,15.7,47,ARL03
2023-07-21,101.6,82.3,0.0,11.8,44,ARL03
2023-07-22,93.3,77.2,0.0,13.8,53,ARL03
2023-07-23,95.5,72.7,0.0,10.5,51,ARL03
2023-07-24,100.9,77.1,0.0,13.8,43,ARL03
2023-07-25,102.8,80.8,0.0,13.5,41,ARL03
2023-07-26,101.2,81.3,0.0,12.2,42,ARL03
2023-07-27,100.7,81.3,0.0,12.6,39,ARL03
2023-07-28,100.8,81.7,0.0,9.4,39,ARL03
2023-07-29,100.8,81.5,0.0,8.7,38,ARL03
2023-07-30,102.2,81.1,0.0,6.7,35,ARL03
2023-07-31,104.8,82.3,0.0,10.3,36,ARL03
2023-08-01,106.0,83.3,0.0,11.1,38,ARL03
2023-08-02,105.7,87.1,0.0,12.3,35,ARL03
2023-08-03,105.5,84.7,0.0,14.2,35,ARL03
2023-08-04,104.7,84.5,0.0,14.2,39,ARL03
2023-08-05,105.2,85.8,0.0,13.7,38,ARL03
2023-08-06,104.4,85.7,0.0,13.7,38,ARL03
2023-08-07,103.4,84.7,0.0,15.7,43,ARL03
2023-08-08,101.8,82.9,0.114,16.5,45,ARL03
2023-08-09,106.2,83.6,0.0,17.9,43,ARL03
2023-08-10,107.3,85.4,0.0,16.2,43,ARL03
2023-08-11,107.2,84.6,0.0,16.0,41,ARL03
2023-08-12,107.6,82.1,0.0,17.6,42,ARL03
2023-08-13,106.4,82.7,0.0,15.6,42,ARL03
2023-08-14,100.5,84.0,0.0,15.9,42,ARL03
2023-08-15,94.1,77.4,0.0,13.0,36,ARL03
2023-08-16,94.7,72.3,0.0,9.2,40,ARL03
2023-08-17,107.7,77.0,0.0,9.3,31,ARL03
2023-08-18,107.9,85.4,0.0,9.6,29,ARL03
2023-08-19,106.1,85.2,0.0,13.6,31,ARL03
2023-08-20,106.1,82.8,0.0,14.6,36,ARL03
2023-08-21,104.1,83.0,0.012,12.2,41,ARL03
2023-08-22,102.8,84.1,0.0,11.9,42,ARL03
2023-08-23,102.8,83.3,0.0,9.0,43,ARL03
2023-08-24,103.5,86.2,0.0,7.0,38,ARL03
2023-08-25,106.7,85.4,0.0,15.6,36,ARL03
2023-08-26,106.2,88.3,0.0,8.2,31,ARL03
2023-08-27,94.6,79.7,0.146,12.6,56,ARL03
2023-08-28,93.2,78.2,0.0,14.0,51,ARL03
2023-08-29,96.3,76.5,0.0,11.1,46,ARL03
2023-08-30,98.1,77.2,0.0,12.8,39,ARL03
2023-08-31,95.8,75.0,0.0,9.2,42,ARL03
2023-06-30,90.7,70.0,0.016,8.4,69,ATL01
2023-07-01,94.0,71.3,0.173,8.9,74,ATL01
2023-07-02,90.6,72.0,0.22,11.8,77,ATL01
2023-07-03,86.5,71.5,0.028,9.7,82,ATL01
2023-07-04,86.1,71.6,0.598,5.9,81,ATL01
2023-07-05,86.4,71.3,0.295,9.3,82,ATL01
2023-07-06,90.3,71.9,0.0,10.0,73,ATL01
2023-07-07,88.3,71.9,0.024,6.2,80,ATL01
2023-07-08,88.2,71.0,0.051,10.0,77,ATL01
2023-07-09,87.6,70.4,0.362,12.6,80,ATL01
2023-07-10,82.8,69.9,1.933,7.1,85,ATL01
2023-07-11,87.6,67.1,0.0,6.8,72,ATL01
2023-07-12,88.2,68.7,0.035,6.9,72,ATL01
2023-07-13,89.5,71.4,0.071,7.5,79,ATL01
2023-07-14,90.1,71.6,0.126,6.7,79,ATL01
2023-07-15,91.8,72.7,0.008,15.8,78,ATL01
2023-07-16,91.9,72.6,0.004,10.1,67,ATL01
2023-07-17,91.4,67.6,0.0,6.9,58,ATL01
2023-07-18,91.8,67.4,0.0,7.0,66,ATL01
2023-07-19,89.9,72.7,0.024,13.6,69,ATL01
2023-07-20,94.9,72.9,0.169,16.4,75,ATL01
2023-07-21,92.1,72.9,0.709,13.6,82,ATL01
2023-07-22,84.0,69.4,0.421,11.8,84,ATL01
2023-07-23,85.5,67.1,0.012,5.9,75,ATL01
2023-07-24,88.5,66.2,0.004,7.0,65,ATL01
2023-07-25,91.3,65.3,0.0,10.7,66,ATL01
2023-07-26,93.4,69.0,0.0,4.6,67,ATL01
2023-07-27,95.1,72.6,0.0,5.9,59,ATL01
2023-07-28,95.2,73.9,0.059,9.3,62,ATL01
2023-07-29,92.8,73.1,0.594,10.6,77,ATL01
2023-07-30,87.9,72.9,0.295,11.7,73,ATL01
2023-07-31,93.7,71.3,0.0,10.6,58,ATL01
2023-08-01,92.9,70.4,0.0,11.4,51,ATL01
2023-08-02,90.0,71.7,0.031,10.9,64,ATL01
2023-08-03,87.6,73.4,0.484,10.6,80,ATL01
2023-08-04,86.1,72.0,0.63,12.2,83,ATL01
2023-08-05,89.8,71.7,0.035,6.8,78,ATL01
2023-08-06,86.6,72.9,0.26,12.7,84,ATL01
2023-08-07,91.1,71.9,0.398,18.7,85,ATL01
2023-08-08,88.2,71.7,0.024,14.4,79,ATL01
2023-08-09,90.1,66.5,0.118,8.6,77,ATL01
2023-08-10,86.5,71.1,0.358,13.7,79,ATL01
2023-08-11,86.3,70.9,0.937,13.0,84,ATL01
2023-08-12,92.2,71.2,0.236,12.8,87,ATL01
2023-08-13,90.9,71.1,0.0,9.2,76,ATL01
2023-08-14,92.4,73.1,0.13,7.9,76,ATL01
2023-08-15,86.2,74.1,0.492,11.1,82,ATL01
2023-08-16,84.0,64.9,0.0,6.9,67,ATL01
2023-08-17,86.3,62.9,0.0,8.7,66,ATL01
2023-08-18,87.6,67.1,0.0,10.3,67,ATL01
2023-08-19,89.5,66.7,0.0,7.3,60,ATL01
2023-08-20,91.3,69.0,0.0,6.1,58,ATL01
2023-08-21,94.3,71.3,0.0,7.9,61,ATL01
2023-08-22,96.3,74.1,0.0,8.2,63,ATL01
2023-08-23,92.6,75.2,0.0,11.0,65,ATL01
2023-08-24,92.7,73.0,0.193,6.6,73,ATL01
2023-08-25,95.4,72.2,0.02,9.3,71,ATL01
2023-08-26,96.3,75.1,0.012,13.2,61,ATL01
2023-08-27,95.3,73.6,0.102,10.3,66,ATL01
2023-08-28,89.8,72.1,0.563,10.7,82,ATL01
2023-08-29,86.8,72.3,0.744,12.5,88,ATL01
2023-08-30,78.9,72.5,1.39,13.7,91,ATL01
2023-08-31,84.6,65.4,0.012,7.4,75,ATL01
2023-06-30,90.7,70.0,0.016,8.4,69,ATL02
2023-07-01,94.0,71.3,0.173,8.9,74,ATL02
2023-07-02,90.6,72.0,0.22,11.8,77,ATL02
2023-07-03,86.5,71.5,0.028,9.7,82,ATL02
2023-07-04,86.1,71.6,0.598,5.9,81,ATL02
2023-07-05,86.4,71.3,0.295,9.3,82,ATL02
2023-07-06,90.3,71.9,0.0,10.0,73,ATL02
2023-07-07,88.3,71.9,0.024,6.2,80,ATL02
2023-07-08,88.2,71.0,0.051,10.0,77,ATL02
2023-07-09,87.6,70.4,0.362,12.6,80,ATL02
2023-07-10,82.8,69.9,1.933,7.1,85,ATL02
2023-07-11,87.6,67.1,0.0,6.8,72,ATL02
2023-07-12,88.2,68.7,0.035,6.9,72,ATL02
2023-07-13,89.5,71.4,0.071,7.5,79,ATL02
